TPL_names,invasion.status.2022,bg_num,chklst_prov_num,wcup_eco_use_AF,wcup_eco_use_EU,wcup_eco_use_FU,wcup_eco_use_GS,wcup_eco_use_HF,wcup_eco_use_IF,wcup_eco_use_MA,wcup_eco_use_ME,wcup_eco_use_PO,wcup_eco_use_SU,wcup_eco_use_num,hab_suit_mean,X1,X2,X3,X4,X5,X6,X7,X8,X9,no.NativeRange.level03,lf_short.herb,lf_long.herb,lf_woody,prop_type.seed.v2,prop_type.veg.v2,prop_type.both.v2,max.height.new2023,pd.mean.to_native,pd.min.to_native,pd.wmean.to_native
Oxalis barrelieri,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0.098,0,0,0,0,0,0,0,1,0,21,0,1,0,1,1,1,1,253.2113363,45.669317,47.187
Oxalis pes-caprae,0,5,7,0,1,0,1,1,1,0,1,1,0,6,0.187,0,1,0,0,0,0,1,0,0,3,0,1,0,1,1,1,0.56,253.2113363,45.669317,47.187
Papaver rhoeas,0,20,18,0,1,0,0,1,0,0,1,1,0,4,0.225,1,1,1,1,0,0,0,0,0,60,1,0,0,1,1,1,1.2,265.2337975,40.435076,49.514
Parthenium hysterophorus,1,3,4,0,0,0,0,0,0,0,1,1,0,2,0.237,0,0,0,0,0,0,1,1,0,40,1,0,0,1,0,0,1.2,229.5179418,11.912653,42.829
Passiflora caerulea,0,14,13,0,1,0,1,1,0,1,1,0,0,5,0.149,0,0,0,0,0,0,0,1,0,7,0,1,0,1,1,1,12,252.2914104,42.892995,47.014
Passiflora foetida,1,9,8,1,1,0,1,1,0,1,1,1,1,8,0.151,0,0,0,0,0,0,1,1,0,44,0,1,0,1,1,1,9,252.2914104,42.892995,47.014
Passiflora laurifolia,0,2,1,0,1,0,1,1,0,1,1,1,0,6,0.118,0,0,0,1,0,0,0,1,0,17,0,1,0,1,1,1,10,252.2914104,42.892995,47.014
Passiflora quadrangularis,0,7,7,0,1,0,1,1,0,0,1,1,0,5,0.105,0,0,0,0,0,0,0,1,0,6,0,1,0,1,1,1,15,252.2914104,42.892995,47.014
Passiflora suberosa,1,6,6,0,1,0,0,0,0,0,1,0,0,2,0.131,0,0,0,0,0,0,1,1,0,46,0,1,0,1,1,1,10,252.2852909,27.467569,47.013
Petiveria alliacea,0,1,1,0,0,0,0,1,0,0,1,1,1,4,0.199,0,0,0,0,0,0,1,1,0,42,0,0,1,1,1,1,2,252.6713687,140.666647,47.086
Phaseolus coccineus,0,5,17,1,1,0,1,1,0,0,1,1,0,6,0.235,0,0,0,0,0,0,1,1,0,12,0,1,0,1,0,0,6,246.9341579,22.441554,45.931
Phaseolus vulgaris,0,12,31,1,1,0,1,1,0,0,1,1,0,6,0.261,0,0,0,0,0,0,1,1,0,11,1,0,0,1,0,0,4.7,246.9341579,22.441554,45.931
Phyllanthus niruri,0,0,5,1,0,0,0,0,0,1,1,1,0,4,0.11,0,0,0,0,0,0,1,1,0,31,1,0,0,1,0,0,1,251.9284692,31.193124,46.93
Physalis angulata,1,7,6,0,0,0,1,1,0,1,1,0,1,5,0.28,0,0,0,0,0,0,1,1,0,50,1,0,0,1,0,0,1,238.658633,15.03231,44.656
Physalis peruviana,1,1,4,0,1,0,1,1,0,1,1,1,0,6,0.204,0,0,0,0,0,0,0,1,0,3,0,0,1,1,1,1,2,238.658634,15.032311,44.656
Physalis pubescens,1,0,2,1,0,0,1,1,0,1,1,0,0,5,0.297,0,0,0,0,0,0,1,1,0,54,1,0,0,1,0,0,1,238.658634,15.032311,44.656
Phytolacca americana,1,20,15,0,1,0,1,1,0,1,1,1,0,6,0.294,0,0,0,0,0,0,1,0,0,48,0,0,1,1,1,1,7,252.6596935,22.949533,47.082
Plantago virginica,1,5,4,0,0,0,0,0,0,0,1,0,0,1,0.31,0,0,0,0,0,0,1,0,0,44,1,0,0,1,0,0,0.9,232.5835358,7.251442,43.694
Polygala paniculata,0,1,2,0,0,0,0,1,0,0,1,0,1,3,0.11,0,0,0,0,0,0,1,1,0,33,1,0,0,1,0,0,0.5,250.8767378,74.182934,46.725
Psidium guajava,0,19,13,1,1,1,1,1,1,1,1,1,0,9,0.138,0,0,0,0,0,0,1,1,0,35,0,0,1,1,1,1,13,253.7312145,57.902771,47.296
Punica granatum,0,26,26,0,1,1,1,1,0,1,1,1,1,8,0.298,0,0,1,1,0,0,0,0,0,9,0,0,1,1,1,1,10,253.871772,86.679022,47.297
Ranunculus arvensis,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0.267,1,1,1,1,0,0,0,0,0,55,1,0,0,1,0,0,0.6,260.4466944,14.47403,48.675
Ranunculus muricatus,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0.265,1,1,1,1,0,0,0,0,0,43,0,1,0,1,0,0,0.6,260.4452278,9.134612,48.674
Raphanus raphanistrum,1,0,1,0,0,0,1,1,0,0,1,1,0,4,0.242,1,1,1,0,0,0,0,0,0,57,1,0,0,1,0,0,1.5,250.9211471,43.699975,46.691
Rauvolfia tetraphylla,0,9,9,0,0,0,0,0,0,1,1,0,0,2,0.122,0,0,0,0,0,0,1,1,0,26,0,0,1,1,1,1,2.5,236.0641472,13.925619,44.207
Reseda lutea,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.151,1,1,1,0,0,0,0,0,0,53,0,1,0,1,0,0,0.9,251.8679063,23.768254,46.896
Rhus typhina,1,12,16,0,1,0,0,0,0,1,1,0,0,3,0.149,0,0,0,0,0,0,1,0,0,9,0,0,1,1,1,1,13.7,252.6497734,21.945872,47.053
Ribes nigrum,0,4,11,0,0,0,1,1,0,1,1,0,0,4,0.191,1,0,1,0,0,0,0,0,0,34,0,0,1,0,1,0,2,254.9802911,23.21696896,47.561
Ribes uva-crispa,0,2,7,0,0,0,1,1,0,1,1,0,0,4,0.12,1,1,1,0,0,0,0,0,0,23,0,0,1,0,1,0,2,254.9571566,19.36425818,47.556
Richardia scabra,1,0,10,0,0,0,0,0,0,0,1,0,0,1,0.215,0,0,0,0,0,0,1,1,0,38,1,0,0,1,0,0,1.5,235.8339991,13.187922,44.172
Ricinus communis,1,23,27,1,1,1,0,1,0,1,1,1,1,8,0.247,0,1,0,0,0,0,0,0,0,3,0,0,1,1,0,0,10,251.9294868,64.349251,46.942
Rivina humilis,1,9,7,1,1,0,0,0,1,0,1,1,0,5,0.215,0,0,0,0,0,0,1,1,0,51,0,0,1,1,1,1,10,252.6713687,140.666647,47.086
Robinia pseudoacacia,1,19,23,0,1,1,0,1,1,1,1,1,0,7,0.297,0,0,0,0,0,0,1,0,0,7,0,0,1,1,1,1,30,247.0202046,92.516857,45.968
Rosmarinus officinalis,0,11,10,1,1,0,0,1,1,1,1,0,0,6,0.173,1,1,1,0,0,0,0,0,0,21,0,0,1,1,1,1,2.4,230.6049489,14.035278,43.382
